judul,pengarang,tahun_terbit,genre
The Quantum Experiment,Alice Thompson,2018,Science Fiction
Echoes of Infinity,Benjamin Rodriguez,2021,Fantasy
Cipher of Shadows,Catherine White,2019,Mystery
Astral Journey,David Turner,2020,Adventure
Temporal Paradox,Emily Harris,2017,Science Fiction
Whispers in the Dark,Frank Miller,2022,Horror
Celestial Harmony,Grace Anderson,2016,Fantasy
Lost Constellations,Henry Carter,2015,Adventure
Chronicles of Light,Isabel Martinez,2023,Science Fiction
Eternal Echo,Jack Robinson,2018,Fantasy
Shadowed Secrets,Karen Brown,2021,Mystery
Voyage Beyond Time,Liam Davis,2019,Adventure
Galactic Whispers,Mia Thompson,2020,Science Fiction
Cursed Crypt,Nathan Scott,2017,Horror
Enchanted Realms,Olivia White,2022,Fantasy
Journey to the Unknown,Paul Adams,2016,Adventure
Spectral Symphony,Quinn Robinson,2015,Science Fiction
Ephemeral Echoes,Rachel Miller,2023,Fantasy
Cryptic Chronicles,Samuel Carter,2018,Mystery
Infinity's Embrace,Tessa Davis,2021,Adventure
Whispers of the Stars,Ulysses Anderson,2019,Science Fiction
Dark Descent,Violet Martinez,2020,Horror
Mystic Mosaic,William Scott,2017,Fantasy
Lost Legends,Xavier White,2022,Mystery
Abyssal Adventures,Yvonne Adams,2016,Adventure
Quasar Quest,Zane Brown,2015,Science Fiction
Labyrinth of Shadows,Alice Thompson Jr.,2023,Fantasy
Eternal Eclipse,Benjamin Rodriguez Jr.,2018,Horror
Secrets of the Spheres,Catherine White Jr.,2021,Mystery
Vortex Voyage,David Turner Jr.,2019,Adventure
Parallel Paradox,Emily Harris Jr.,2020,Science Fiction
Whispers Reborn,Frank Miller Jr.,2017,Fantasy
Celestial Serenade,Grace Anderson Jr.,2022,Mystery
Found Constellations,Henry Carter Jr.,2016,Adventure
Chronicles of Darkness,Isabel Martinez Jr.,2015,Science Fiction
Eternal Echoes Returned,Jack Robinson Jr.,2023,Fantasy
Shadowed Secrets Unveiled,Karen Brown Jr.,2018,Mystery
Voyage Beyond Time Redux,Liam Davis Jr.,2021,Adventure
Galactic Whispers Resurfaced,Mia Thompson Jr.,2019,Science Fiction
Cursed Crypt Revisited,Nathan Scott Jr.,2020,Horror
Enchanted Realms Rediscovered,Olivia White Jr.,2017,Fantasy
Journey to the Unknown Continued,Paul Adams Jr.,2022,Adventure
Spectral Symphony Replayed,Quinn Robinson Jr.,2016,Science Fiction
Ephemeral Echoes Echoed,Rachel Miller Jr.,2023,Fantasy
Cryptic Chronicles Continued,Samuel Carter Jr.,2018,Mystery
Infinity's Embrace Extended,Tessa Davis Jr.,2021,Adventure
Whispers of the Stars Reimagined,Ulysses Anderson Jr.,2019,Science Fiction
Dark Descent Revived,Violet Martinez Jr.,2020,Horror
Mystic Mosaic Mended,William Scott Jr.,2017,Fantasy
Lost Legends Continued,Xavier White Jr.,2022,Mystery
